geneid	G002	G003	G004	G037	G119	H064	H067	H069	H075	H076
0610005C13Rik	5	3	5	3	2	0	2	1	0	1
0610006L08Rik	0	0	0	1	0	0	0	0	0	0
0610009B22Rik	300	233	278	235	227	140	215	195	230	166
0610009E02Rik	41	23	34	26	31	30	32	33	54	38
0610009L18Rik	74	51	61	55	37	23	41	18	16	20
0610009O20Rik	646	654	710	651	637	279	529	334	393	330
0610010F05Rik	709	584	663	684	542	335	506	441	466	381
0610010K14Rik	6	16	12	13	8	2	8	7	10	3
0610012D04Rik	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	153	154	142	105	135	62	119	103	98	95
0610025J13Rik	0	0	0	0	0	1	0	1	1	2
0610030E20Rik	172	184	213	224	176	96	190	84	83	98
0610031O16Rik	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	1	0	0	0	0	0	1	1	0
0610037L13Rik	419	356	370	382	326	179	314	230	257	226
0610038B21Rik	0	0	0	1	2	1	1	0	1	0
0610039K10Rik	2	1	1	1	2	2	0	1	4	1
0610040B10Rik	20	17	17	22	18	12	14	20	23	16
0610040F04Rik	1	1	0	1	0	0	0	0	0	0
0610040J01Rik	1510	1384	1290	1312	1119	504	958	611	677	559
0610043K17Rik	5	2	3	7	1	3	0	2	4	4
1010001B22Rik	6	17	6	3	8	3	4	3	5	2
1010001N08Rik	12	4	7	10	3	5	5	3	3	8
1110002E22Rik	27	28	14	23	33	11	24	21	15	16
1110002J07Rik	0	1	0	1	0	0	0	0	2	1
1110002L01Rik	130	102	141	123	126	69	102	70	93	90
1110002O04Rik	0	0	1	0	0	0	0	0	0	0
1110003F10Rik	19	18	8	21	21	10	31	17	28	15
1110004E09Rik	248	223	206	178	163	98	131	137	148	94
1110004F10Rik	374	385	389	359	317	219	269	268	306	254
1110006O24Rik	17	8	26	25	19	9	7	7	8	7
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	253	260	269	199	215	186	185	190	250	188
1110008L16Rik	146	112	159	135	142	88	115	92	104	112
1110008P14Rik	194	171	185	156	162	128	161	150	197	163
1110012L19Rik	69	58	46	73	50	35	45	39	43	46
1110015O18Rik	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	14	13	5	8	8	11	7	16	27	12
1110018N20Rik	148	108	98	108	84	91	79	107	131	94
1110019D14Rik	59	51	44	53	35	55	35	62	77	51
1110020A21Rik	62	46	48	48	25	12	36	19	20	11
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	38	26	32	26	21	8	21	7	11	18
1110028F11Rik	0	0	1	1	0	1	1	3	0	0
1110028F18Rik	1	0	0	0	1	0	0	1	1	0
1110032A03Rik	412	336	342	332	300	250	270	353	372	276
1110032F04Rik	1	0	0	0	2	0	0	0	0	0
1110034G24Rik	122	92	111	113	104	52	88	49	50	51
1110035H17Rik	2	9	8	7	12	1	4	2	4	1
1110036E04Rik	1	2	1	0	1	0	1	1	4	0
